sku	mfg	supplier	price	description
GBAIOBAS	Gigabyte	CDLOG	1843.97	All In One 21.5" G2030 4G 640G DOS
BGAIOPRO	Gigabyte	CDLOG	2423.06	All In One 21.5" I3-3245 4G 1TB WIN7 Home
BGAIOPROT	Gigabyte	CDLOG	3213.61	All In One 21.5" Touch I5-3470 8G 1TB WIN7 Pro
LX830-117	Toshiba	CDLOG	4093.4	All In One LX830 23" Touch / I5 / 4G / 500G / Geforce GT630 / Win 8
LX830-12E	Toshiba	CDLOG	4288.37	All In One LX830 23" Touch / I5 / 4G / 500G / Geforce GT630 / Win 8
LX830-12F	Toshiba	CDLOG	4989.68	All In One LX830 23" Touch / I7 / 4G / 1TB / Geforce GT630 / Win 8
PX30TA-116	Toshiba	CDLOG	5886.93	All In One PX30t-A 23" Touch / I7 / 8G / 1TB / Geforce GT740 / Win 8
i35B-BR001	GIADA	CDLOG	669.3	Giada I35B Atom D2550 Black Barebone
I35GB-BR001	GIADA	CDLOG	843.9	Giada I35GB Atom D2550 Nvidia GT610 Black Barebone
I53B-BT001	GIADA	CDLOG	1144.6	Giada i53B Intel i3 3217U Intel HD4000 Black Barebone
I53B-BQ001	GIADA	CDLOG	1600.5	Giada i53B Intel i5 3317U Intel HD4000 Black Barebone
I30-B2231	GIADA	CDLOG	834.2	Giada I30 Atom 525 2G 320GB Wifi BT White
I35V-BM571	GIADA	CDLOG	882.7	Giada I35V Atom D2500 2G 32GB SSD Wifi Purple
F100-BH531	GIADA	CDLOG	940.9	Giada F100 Atom 455 2G 320GB Wifi BT Fanless Black
I51-BF531	GIADA	CDLOG	1115.5	Giada I51 Celeron 857 2G 320GB Wifi BT Black
F101-BK531	GIADA	CDLOG	1115.5	Giada F101 Atom 2600 2G 320GB Wifi BT Fanless Black
F102D-BK531	GIADA	CDLOG	1154.3	Giada F102D Atom 2600 2G 320GB Dual LAN COM Port Wifi BT Black
D2305-BQ641	GIADA	CDLOG	3220.4	Giada D2305 i5 3317U 4G 32GB SSD + 500GB GT640 Wifi BT Black
WIFIBTKIT	GIADA	CDLOG	82.45	Infinity Giada Wifi + Bluetooth KIT
WIFIBTP	GIADA	CDLOG	121.25	Infinity Giada Wifi + Bluetooth + HDMI + Remote Control KIT
JZ182	GIADA	CDLOG	61.11	מתקן תלייה VESA ל GIADA
A51B-BP001	GIADA	CDLOG	839.05	Giada A51B AMD Fusion T56N RADEON 6320 Barebone Black
I53B-BF001	GIADA	CDLOG	756.6	Giada i53B Celeron 1037U Intel HD Graphics Barebone Black
F102D-BK571	GIADA	CDLOG	1134.9	Giada F102D Atom 2600 2G 32G SSD Dual LAN COM Port Wifi BT Black
Basic Server	CD-Log	CDLOG	2984.69	Supermicro Basic Minitower SOHO Server
Tower 1	CD-Log	CDLOG	3686.97	Supermicro Basic Tower Server
Tower 2	CD-Log	CDLOG	7549.51	Supermicro Advanced Tower Server
App Server 1	CD-Log	CDLOG	2704.36	Supermicro Basic Application Server
App Server 2	CD-Log	CDLOG	4119.59	Supermicro Advanced Application Server
Server 1	CD-Log	CDLOG	4498.86	Supermicro Single CPU Basic 1U Server
Server 2	CD-Log	CDLOG	5162.34	Supermicro Single CPU Advanced 1U Server
Server 3	CD-Log	CDLOG	6531.98	Supermicro Single CPU Advanced 1U Redundant Server
Server 4	CD-Log	CDLOG	7830.81	Supermicro Single CPU Advanced 1U Redundant Server with high memory capacity
Database Server1	CD-Log	CDLOG	6570.78	Supermicro SMB Database 1U Server
Database Server2	CD-Log	CDLOG	9024.88	Supermicro SMB Database 1U Redundant Server
Database Server3	CD-Log	CDLOG	20541.69	Supermicro Enterprise Database 1U Server
Database Server4	CD-Log	CDLOG	33608.56	Supermicro Enterprise Database 1U Redundant Server with 10G
Mega Storage	CD-Log	CDLOG	47425.24	Supermicro Enterprise Mega Storage Server 64TB with 10G
YellowRiver 1U Basic	CD-Log	CDLOG	11949.43	TYAN Basic 2-way systems cluster in 1U
YellowRiver 1U Super computing	CD-Log	CDLOG	28877.87	TYAN Advanced 2-way systems cluster in 1U
Quad system basic	CD-Log	CDLOG	19671.6	Supermicro Basic 4-way systems cluster in 2U
Quad system advanced	CD-Log	CDLOG	39517.8	Supermicro Advanced 4-way systems cluster in 2U
Infinity	CD-Log	CDLOG	6430.13	4U Basic Storage server
Supermicro storage 836-16	CD-Log	CDLOG	7954	Supermicro 3U Storage server UP to 64TB
Supermicro storage eXtreme performance	CD-Log	CDLOG	13189.09	Supermicro 3U Storage server UP to 64TB with dual 10G
Supermicro storage 846-24	CD-Log	CDLOG	12325.79	Supermicro 4U Storage server UP to 96TB
XP-RD33-6456	DELL	CDLOG	5351.49	XPS 12 Duo UltraBook 12.5" / I5 / 4G / 128G SSD / WIN8
XP-RD33-6719	DELL	CDLOG	5450.43	XPS 12 Duo UltraBook 12.5" / I5 / 4G / 128G SSD / WIN8
XP-RD33-6947	DELL	CDLOG	6566.9	XPS 12 Duo UltraBook 12.5" / I7 / 8G / 256G SSD / WIN8 Pro
VM-RD33-7113	DELL	CDLOG	2398.81	Vostro 3360 13.3" / I3 / 4G / 500G / Dos
VM-RD33-7114	DELL	CDLOG	2642.28	Vostro 3360 13.3" / I5 / 4G / 500G / Dos
VM-RD33-7116	DELL	CDLOG	3365.9	Vostro 3360 13.3" / I5 / 4G / 500G + 32GB SSD / WIN8 Pro / Red
VM-RD33-6368	DELL	CDLOG	2778.08	Vostro 3360 13.3" / I3 / 4G / 500G / WIN7 Home
VM-RD33-7115	DELL	CDLOG	3330.98	Vostro 3360 13.3" / I5 / 4G / 500G + 32G SSD / WIN8 Pro
VM-RD33-7117	DELL	CDLOG	3998.34	Vostro 3360 13.3" / I7 / 8G / 500G + 32G SSD / WIN8 Pro
IN-RD33-7048	DELL	CDLOG	2746.07	Inspirion 13z 13.3" / I3 / 4G / 500G / WIN8
IN-RD33-7046	DELL	CDLOG	2918.73	Inspirion 13z 13.3" / I5 / 4G / 500G / WIN8
IN-RD33-7047	DELL	CDLOG	2953.65	Inspirion 13z 13.3" / I5 / 4G / 500G / WIN8 / Red
LT-RD33-6960	DELL	CDLOG	4098.25	Latitude E6330 13.3" / I5 / 4G / 750G / DOS
LT-RD33-6961	DELL	CDLOG	4512.44	Latitude E6330 13.3" / I5 / 4G / 750G / WIN8 PRO
LT-RD33-6962	DELL	CDLOG	4512.44	Latitude E6330 13.3" / I5 / 4G / 750G / WIN7 PRO
LT-RD33-6775	DELL	CDLOG	4828.66	Latitude E6330 13.3" / I7 / 8G / 750G / DOS
LT-RD33-6820	DELL	CDLOG	6219.64	Latitude E6330 13.3" / I7 / 8G / 256G SSD / WIN8 PRO
